Participant_ID,Total_Trials,Successful_Collaborations,Success_Rate_(%)
62b628e4351d179f1ff6cc59,20,20.0,100.0
60bac4eb11e08e852fd030ab,20,20.0,100.0
5f0f7fe1d7ad1c000b42d091,20,20.0,100.0
6154c1748e0de2c3afdab62c,20,20.0,100.0
5efaf5d5540ce9953f995009,20,20.0,100.0
651b249337102ada9fee4951,20,20.0,100.0
66338ea47f6b47399eb188ca,20,20.0,100.0
5d1481522b085a001602d964,20,20.0,100.0
663a3ee80ab62f61353a10f0,20,20.0,100.0
5c06063cf7595100015c30f6,20,20.0,100.0
6143af8721d1445864c4f6c8,20,20.0,100.0
66ba819cd72c840e39108978,20,20.0,100.0
5b985404a15058000124e508,20,20.0,100.0
5b2fef03530770000105a8b2,20,20.0,100.0
66bce38cdb7f3309e448dc8d,20,20.0,100.0
67364113bdafe2840fa05b69,20,20.0,100.0
675c64b95d8683943d557b71,20,20.0,100.0
678f0bb28ec3307e4f1afb78,20,20.0,100.0
66d0217be06f8783cc04f0a7,20,19.0,95.0
6658c4239af9537eefdfbcc9,20,19.0,95.0
5723714684458100120292f6,20,19.0,95.0
6824d53b2584274c9b13924e,20,19.0,95.0
5f0a686635f72917e94c7a63,20,19.0,95.0
597519f8262c480001bbaf8b,20,19.0,95.0
5a5bd24be0cf3d000126849e,20,19.0,95.0
6016f0e16f7aec8af4152aa4,20,19.0,95.0
6646cdbd7a8e4d39556e459b,18,17.0,94.4
5e1b795dc799223a3b447ada,20,18.0,90.0
5aff33bae55f90000139f664,20,18.0,90.0
65b537602cf1fbd4f77c7909,20,18.0,90.0
65c10fc4bfa12f9fbcfda656,20,18.0,90.0
66b5172c8f0bd3b23ce66c22,20,18.0,90.0
5c70eafaf6c9fe00013eeafb,20,18.0,90.0
5bddfba7712eb800010d3a61,19,17.0,89.5
596de39c9fd5ee0001b704c3,20,17.0,85.0
607668ac450fc6e3025a131d,20,17.0,85.0
663a8c84b8e7c046d854c8dd,20,17.0,85.0
660453c9877e571d12b555f7,20,17.0,85.0
5c0558b8553fb80001191980,20,17.0,85.0
66854df2e5fef4239ff63a7d,19,15.0,78.9
652c5f38cf13042034313b91,19,15.0,78.9
670c3a0b29d34e1201670dd1,19,15.0,78.9
670d816961bebcb45b53b929,20,15.0,75.0
57dd3b0e91b7fc0001493db9,20,15.0,75.0
6731413b949994960fadc176,20,14.0,70.0
5f850c99d40bfe1f29078e69,20,14.0,70.0
67d21364aa4dc87ecd8f3f1b,20,11.0,55.0
6527f153bea7b2d7c0d556e4,20,10.0,50.0
572f526c3c27e7000e0b8aaa,20,10.0,50.0
672541915a9a5ac8b878a28e,19,8.0,42.1
5dc3552003f8562725a1b956,17,7.0,41.2
