participantKey,game_type,success_rate
1aa4a978-1316-4242-a21e-9772545006a7,human,1.0
3058f602-8cd4-402d-96ff-5aa79525a18e,human,0.9166666666666666
329a09b2-ad1f-4458-af0b-f7dd194297d1,human,0.9583333333333334
33225ba8-f6fe-4cf4-91ee-5530c0096612,gpt-4.1-mini,0.8333333333333334
3f333c71-69b9-47d2-afa2-a8cdd8a7a34f,gpt-4.1-mini,1.0
49124e6f-79b4-4627-ab53-ba0f80c28c33,gpt-4.1-mini,0.6666666666666666
49124e6f-79b4-4627-ab53-ba0f80c28c33,mixed,0.75
5de6a11a-219d-4804-b614-ef42656f3066,human,0.8333333333333334
5de6a11a-219d-4804-b614-ef42656f3066,mixed,0.8333333333333334
61690307-cecf-4eb5-bed9-b1c691b7b9a2,gpt-4.1-mini,0.875
752d4cef-6dc3-4d68-9d9d-0815e9d70bae,gpt-4.1-mini,0.4166666666666667
752d4cef-6dc3-4d68-9d9d-0815e9d70bae,mixed,0.3333333333333333
7a5db826-2ab9-4c4c-8578-c93df8f87b1d,gpt-4.1-mini,0.8333333333333334
7e03a0e9-c26d-4eaa-aada-b9088e8981fe,gpt-4.1-mini,1.0
8048bfb7-aa2a-4c5f-b0c8-e2b4f0a19dc6,human,0.8333333333333334
9891f74f-a030-43ed-b425-c8b99990e72d,gpt-4.1-mini,0.9166666666666666
9922acb2-7db1-47ea-b369-ff389b4e47a5,human,1.0
9a6ddc72-01b2-432c-848d-7629f2ff5bd7,human,1.0
9d17be6d-fd28-4858-bf25-10f159569d54,human,1.0
aa6f51e0-a8a1-49f7-ba8a-a3f3bba2b5f5,gpt-4.1-mini,0.782608695652174
b2209a3e-c750-4a3e-a4a4-093f62e7ef08,gpt-4.1-mini,0.75
b5ed8553-19fc-43a4-ae35-6e256c500817,gpt-4.1-mini,0.75
be42df1a-9711-44cc-a7f4-b6c6b6b59c7d,human,0.9583333333333334
c9290c73-b52a-47dd-bac3-a52128ddbebf,human,1.0
db2021d6-0a33-4478-a117-bf4fbec70cd4,human,0.9166666666666666
db2021d6-0a33-4478-a117-bf4fbec70cd4,mixed,1.0
e55b3b94-4195-40a0-b088-223a8c4f1d88,gpt-4.1-mini,0.5909090909090909
e966ae9a-efbe-4448-94ba-022d109d13de,human,0.8333333333333334
e966ae9a-efbe-4448-94ba-022d109d13de,mixed,0.9166666666666666
eb76ae37-255a-4cfa-a16b-78dc1b788aaa,human,1.0
ef2939e7-74ac-4751-92d3-c94b68dbb9da,human,0.9583333333333334
fa684eb1-e4c4-4905-96b7-15cf7b8a3f2d,human,1.0
fc2813a7-4ebd-43fe-a958-ab321b8830f1,human,1.0
